"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Cabo Verde","CPV","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153.8","178.14","202.48","226.82","251.16","275.5","299.84","324.18","348.52","372.86","397.2","400.2","403.2","406.2","409.2","412.2","415.2","418.2","421.2","424.2","427.2","430.2","433.2","436.2","439.2","442.2","445.2","448.2","451.2","454.2","457.2",
"Costa Rica","CRI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29074","29023.82","28973.64","28923.46","28873.28","28823.1","28772.92","28722.74","28672.56","28622.38","28572.2","28586.18","28600.16","28614.14","28628.12","28642.1","28656.08","28670.06","28684.04","28698.02","28712","28875.66","29039.32","29202.98","29366.64","29530.3","29694","29857.7","30021.3","30185","30348.7",
"Caribbean small states","CSS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369972.4","369748.93","369525.46","369301.99","369078.52","368855.05","368631.58","368408.11","368184.64","367961.17","367737.7","367616.67","367495.64","367374.61","367253.58","367132.55","367011.52","366890.49","366769.46","366648.43","366527.4","366230.12","365932.84","365635.56","365338.28","365041","364757.9","364515.3","364223.4","363931.1","363639.2",
"Cuba","CUB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20580","20957","21334","21711","22088","22465","22842","23219","23596","23973","24350","24847","25344","25841","26338","26835","27332","27829","28326","28823","29320","29824","30328","30832","31336","31840","32410","32420","32420","32420","32420",
"Curacao","CUW","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7",
"Cayman Islands","CYM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.3","131.1","130.9","130.7","130.5","130.3","130.1","129.9","129.7","129.5","129.3","129.09","128.88","128.67","128.46","128.25","128.04","127.83","127.62","127.41","127.2","127.2","127.2","127.2","127.2","127.2","127.2","127.2","128.1","127.2","127.2",
"Cyprus","CYP","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1611.1","1621.6","1632.1","1642.6","1653.1","1663.6","1674.1","1684.6","1695.1","1705.6","1716.1","1717.33","1718.56","1719.79","1721.02","1722.25","1723.48","1724.71","1725.94","1727.17","1728.4","1728.14","1727.88","1727.62","1727.36","1727.1","1726.1","1725.9","1725.7","1725.5","1725.3",
"Czech Republic","CZE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26290","26290","26290","26317.81","26325.68","26333.55","26341.42","26349.29","26357.16","26365.03","26372.9","26392.99","26413.08","26433.17","26453.26","26473.35","26493.44","26513.53","26533.62","26553.71","26573.8","26595.82","26617.84","26639.86","26661.88","26683.9","26698.5","26716.6","26734.7","26752.8","26770.9",
"Germany","DEU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113000","113054","113108","113162","113216","113270","113324","113378","113432","113486","113540","113595","113650","113705","113760","113815","113870","113925","113980","114035","114090","114110","114130","114150","114170","114190","114190","114190","114190","114190","114190",
"Djibouti","DJI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56.1","56.4","57","58",
"Dominica","DMA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","503.1","500.66","498.22","495.78","493.34","490.9","488.46","486.02","483.58","481.14","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7",
"Denmark","DNK","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5314.4","5354.56","5394.72","5434.88","5475.04","5515.2","5555.36","5595.52","5635.68","5675.84","5716","5730.89","5745.78","5760.67","5775.56","5790.45","5805.34","5820.23","5835.12","5850.01","5864.9","5941.28","6017.66","6094.04","6170.42","6246.8","6246.6","6256","6265.6","6275","6284.4",
"Dominican Republic","DOM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15948.9","16326.48","16704.06","17081.64","17459.22","17836.8","18214.38","18591.96","18969.54","19347.12","19724.7","19825.35","19926","20026.65","20127.3","20227.95","20328.6","20429.25","20529.9","20630.55","20731.2","20792.26","20853.32","20914.38","20975.44","21036.5","21117.4","21198.3","21279.2","21360.1","21441",
"Algeria","DZA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16670","16582","16494","16406","16318","16230","16142","16054","15966","15878","15790","16129","16468","16807","17146","17485","17824","18163","18502","18841","19180","19256","19332","19408","19484","19560","19560","19430","19300","19390","19490",
